"rgn_typ","ant_typ","rgn_id","ant_id","rgn_nam","rgn_key","are_km2"
"land-noeez","land-noeez","333","333","Tajikistan","TJK",142643.935147
"land-noeez","land-noeez","334","334","Uganda","UGA",243702.776716
"land-noeez","land-noeez","335","335","Uzbekistan","UZB",446967.028238
"land-noeez","land-noeez","336","336","Zambia","ZMB",756427.32351
"land-noeez","land-noeez","337","337","Zimbabwe","ZWE",391930.160831
"eez","eez","34","34","Bassas da India","ATF",122177.234713
"land","land","34","34","Bassas da India","ATF",2.11280637779
"eez","eez","35","35","Ile Europa","ATF",125623.801672
"land","land","35","35","Ile Europa","ATF",24.9397315988
"eez","eez","36","36","Ile Tromelin","ATF",271996.952725
"land","land","36","36","Ile Tromelin","ATF",1.0523674096
"eez","eez","37","37","Mauritius","MUS",1280068.38699
"land","land","37","37","Mauritius","MUS",2062.48131635
"eez","eez","38","38","British Indian Ocean Territory","IOT",642744.718734
"land","land","38","38","British Indian Ocean Territory","IOT",68.9527619641
"eez","eez","39","39","Maldives","MDV",922110.093637
"land","land","39","39","Maldives","MDV",304.675588918
"eez","eez","4","4","Macquarie Island","AUS",475287.098249
"land","land","4","4","Macquarie Island","AUS",129.441269105
"eez","eez","40","40","Sri Lanka","LKA",534085.43874
"land","land","40","40","Sri Lanka","LKA",66631.4177658
"eez","eez","41","41","Mozambique","MOZ",574409.612416
"land","land","41","41","Mozambique","MOZ",790776.212602
"eez","eez","42","42","Madagascar","MDG",1205824.80785
"land","land","42","42","Madagascar","MDG",594718.722138
"eez","eez","43","43","Kenya","KEN",112400.455969
"land","land","43","43","Kenya","KEN",585815.771492
"eez","eez","44","44","Somalia","SOM",784501.565749
"land","land","44","44","Somalia","SOM",640183.506726
"eez","eez","45","45","Eritrea","ERI",78827.4148463
"land","land","45","45","Eritrea","ERI",122443.56515
"eez","eez","46","46","Djibouti","DJI",7031.12494826
"land","land","46","46","Djibouti","DJI",21593.3151306
"eez","eez","47","47","Yemen","YEM",548013.942084
"land","land","47","47","Yemen","YEM",456252.878472
