"MRGID","MRGID_SOV1","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","GEONAME"
48956,2111,"Doumeira Islands",NA,"Eritrea","ERI","Overlapping claim Doumeira Islands: Eritrea / Djibouti"
8490,3868,"Egypt","EGY","Egypt","EGY","Egyptian Exclusive Economic Zone"
8351,2111,"Eritrea","ERI","Eritrea","ERI","Eritrean Exclusive Economic Zone"
5678,2102,"Georgia","GEO","Georgia","GEO","Georgian Exclusive Economic Zone"
8469,2126,"Iran","IRN","Iran","IRN","Iranian Exclusive Economic Zone"
8374,2098,"Lebanon","LBN","Lebanon","LBN","Lebanese Exclusive Economic Zone"
8372,2194,"Libya","LBY","Libya","LBY","Libyan Exclusive Economic Zone"
5685,2217,"Malta","MLT","Malta","MLT","Maltese Exclusive Economic Zone"
8354,2251,"Oman","OMN","Oman","OMN","Omani Exclusive Economic Zone"
8356,2215,"Saudi Arabia","SAU","Saudi Arabia","SAU","Saudi Arabian Exclusive Economic Zone"
8346,2195,"Sri Lanka","LKA","Sri Lanka","LKA","Sri Lankan Exclusive Economic Zone"
8373,3384,"Syria","SYR","Syria","SYR","Syrian Exclusive Economic Zone"
8392,8632,"Togo","TGO","Togo","TGO","Togolese Exclusive Economic Zone"
5679,2099,"Greece","GRC","Greece","GRC","Greek Exclusive Economic Zone"
5697,2213,"Turkey","TUR","Turkey","TUR","Turkish Exclusive Economic Zone"
21790,2222,"Monaco","MCO","Monaco","MCO","Monégasque Exclusive Economic Zone"
8366,2214,"Tunisia","TUN","Tunisia","TUN","Tunisian Exclusive Economic Zone"
5691,17831,"Montenegro","MNE","Montenegro","MNE","Montenegrin Exclusive Economic Zone"
5670,2153,"Albania","ALB","Albania","ALB","Albanian Exclusive Economic Zone"
5672,2174,"Bulgaria","BGR","Bulgaria","BGR","Bulgarian Exclusive Economic Zone"
48953,15525,"Palestine","PSE","Palestine","PSE","Palestinian Exclusive Economic Zone"
8357,2115,"Kuwait","KWT","Kuwait","KWT","Kuwaiti Exclusive Economic Zone"
8470,2125,"Iraq","IRQ","Iraq","IRQ","Iraqi Exclusive Economic Zone"
8358,2154,"Bahrain","BHR","Bahrain","BHR","Bahraini Exclusive Economic Zone"
8468,2242,"Qatar","QAT","Qatar","QAT","Qatari Exclusive Economic Zone"
8353,2199,"Yemen","YEM","Yemen","YEM","Yemeni Exclusive Economic Zone"
8375,2123,"Israel","ISR","Israel","ISR","Israeli Exclusive Economic Zone"
8491,2120,"Jordan","JOR","Jordan","JOR","Jordanian Exclusive Economic Zone"
8352,2131,"Djibouti","DJI","Djibouti","DJI","Djiboutian Exclusive Economic Zone"
8481,2142,"Bangladesh","BGD","Bangladesh","BGD","Bangladeshi Exclusive Economic Zone"
8474,2253,"Nigeria","NGA","Nigeria","NGA","Nigerian Exclusive Economic Zone"
8475,2170,"Cameroon","CMR","Cameroon","CMR","Cameroonian Exclusive Economic Zone"
21797,2238,"São Tomé and Principe","STP","São Tomé and Principe","STP","Joint regime area: São Tomé and Principe / Nigeria"
48976,17,"France","FRA","France","FRA","Joint regime area: France / Italy"
22491,2136,"Bosnia and Herzegovina","BIH","Bosnia and Herzegovina","BIH","Bosnian and Herzegovinian Exclusive Economic Zone"
48957,2204,"Guam","GUM","United States","USA","United States Exclusive Economic Zone (Guam)"
8318,2226,"Marshall Islands","MHL","Marshall Islands","MHL","Marshallese Exclusive Economic Zone"
48980,2204,"Northern Mariana Islands","MNP","United States","USA","United States Exclusive Economic Zone (Northern Mariana Islands)"
8315,8594,"Palau","PLW","Palau","PLW","Palauan Exclusive Economic Zone"
8322,2245,"Philippines","PHL","Philippines","PHL","Philippine Exclusive Economic Zone"
48954,2177,"Senkaku Islands",NA,"Taiwan","TWN","Overlapping claim Senkaku Islands: Taiwan / Japan / China"
8485,2190,"Singapore","SGP","Singapore","SGP","Singaporean Exclusive Economic Zone"
8332,2207,"Thailand","THA","Thailand","THA","Thailand Exclusive Economic Zone"
8319,2204,"Wake Island / Enenkio","UMI","United States","USA","Overlapping claim Wake Island / Enenkio: United States / Marshall Islands"
8484,2200,"Vietnam","VNM","Vietnam","VNM","Vietnamese Exclusive Economic Zone"
21796,8600,"South Korea","KOR","South Korea","KOR","Joint regime area: South Korea / Japan"
26521,2145,"Brunei","BRN","Brunei","BRN","Bruneian Exclusive Economic Zone"
8321,2177,"Taiwan","TWN","Taiwan","TWN","Overlapping claim Taiwan: Taiwan / China"
8328,8601,"North Korea","PRK","North Korea","PRK","North Korean Exclusive Economic Zone"
8331,2171,"Cambodia","KHM","Cambodia","KHM","Cambodian Exclusive Economic Zone"
8486,8603,"China","CHN","China","CHN","Chinese Exclusive Economic Zone"
5675,2110,"Estonia","EST","Estonia","EST","Estonian Exclusive Economic Zone"
5676,2106,"Finland","FIN","Finland","FIN","Finnish Exclusive Economic Zone"
5694,2180,"Sweden","SWE","Sweden","SWE","Swedish Exclusive Economic Zone"
5684,2156,"Lithuania","LTU","Lithuania","LTU","Lithuanian Exclusive Economic Zone"
48977,2252,"Norway","NOR","Norway","NOR","Joint regime area: Sweden / Norway"
3293,14,"Belgium","BEL","Belgium","BEL","Belgian Exclusive Economic Zone"
5668,15,"Netherlands","NLD","Netherlands","NLD","Dutch Exclusive Economic Zone"
5669,2101,"Germany","DEU","Germany","DEU","German Exclusive Economic Zone"
5674,2157,"Denmark","DNK","Denmark","DNK","Danish Exclusive Economic Zone"
5683,2132,"Latvia","LVA","Latvia","LVA","Latvian Exclusive Economic Zone"
5673,2160,"Croatia","HRV","Croatia","HRV","Croatian Exclusive Economic Zone"
5682,2133,"Italy","ITA","Italy","ITA","Italian Exclusive Economic Zone"
5695,2196,"Ukraine","UKR","Ukraine","UKR","Overlapping claim Ukraine: Ukraine / Russia"
5689,2241,"Romania","ROU","Romania","ROU","Romanian Exclusive Economic Zone"
8487,2121,"Japan","JPN","Japan","JPN","Japanese Exclusive Economic Zone"
