"nearest_seamount_id","nearest_seamount_distance_m","pixel_id"
1127503,711089.47700447,251
1127503,712571.149546599,252
1127503,715446.42444959,253
1127503,719698.599124036,254
1127503,725303.457275893,255
1127503,732229.937194245,256
5512085,739623.450899574,257
5481449,1253665.49493579,258
5481449,1244922.62542567,259
5481449,1236925.24334851,260
5481449,1229687.89381722,261
5481449,1223224.06737293,262
5481449,1217546.08374057,263
5481449,1212664.98147487,264
5481449,1208590.41564576,265
5481449,1205330.56566154,266
5481449,1202892.05520572,267
5481449,1201279.8860665,268
5481449,1200497.38737356,269
5481449,1200546.18142968,270
5481449,1201426.16694988,271
5481449,1203135.52010996,272
5481449,1205670.71337927,273
5481449,1209026.55168635,274
5481449,1213196.22505864,275
5481449,1218171.37650757,276
5481449,1223942.18361001,277
5481449,1230497.45198013,278
5481449,1237824.7186379,279
5481449,1245910.36316593,280
5481449,1254739.7245044,281
5481449,1264297.22126025,282
5481449,1274566.47349412,283
5481449,1285530.42408804,284
5481449,1297171.45797637,285
5481449,1309471.51773263,286
5481449,1322412.21423174,287
5481449,1335974.9313432,288
5508165,1318409.50997961,289
5508165,1293450.19294549,290
5508165,1268786.70843001,291
5508165,1244436.64586769,292
5508165,1220418.76579315,293
5508165,1196753.06828668,294
5508165,1173460.86140056,295
5508165,1150564.82835874,296
5508165,1128089.09200704,297
5508165,1106059.27462602,298
5508165,1084502.55080339,299
5508165,1063447.69060059,300
5508165,1042925.08974532,301
5508165,1022966.78305245,302
5508165,1003606.43674149,303
5508165,984879.314810238,304
5508165,966822.214186807,305
5508165,949473.36307078,306
5508165,932872.276760683,307
5508165,917059.565430861,308
5508165,902076.688857266,309
5508165,887965.654089725,310
5508359,874608.734501263,311
5508359,862093.315990104,312
5508359,850567.973013088,313
5508359,840073.456424039,314
5453334,1593222.49069297,315
5453334,1586939.23619365,316
5453334,1581262.44441704,317
5453334,1576198.66803283,318
5453334,1571753.83197403,319
5453334,1567933.20003547,320
5453334,1564741.34458503,321
5453809,1561231.87939139,322
5453809,1557969.97667757,323
5453809,1555343.19668082,324
5453809,1553354.76145206,325
5453809,1552007.12453974,326
5453809,1551301.95595517,327
5453809,1551240.1318656,328
5468712,1541953.63545026,329
