flag_fin,region,length_category,year,days_at_sea,f_transit_med,s_transit_floor,das_trip_med,radius_km_med
STP,IslandsNations,12-24m,1980,198.109614863602,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1981,198.109577133132,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1982,198.109620931895,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1983,198.109632874014,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1984,198.109547316607,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1985,198.109539021492,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1986,198.109601879975,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1987,198.109584996865,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1988,198.109580790008,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1989,198.109562970628,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1990,198.109642865282,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1991,198.109558691771,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1992,198.109581899592,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1993,198.109614302025,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1994,198.109602280991,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1995,198.109581833396,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1996,198.109595967969,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1997,198.109577661751,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1998,198.109566772131,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1999,198.109616545211,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2000,198.109623799725,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2001,198.109605371131,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2002,198.109605539581,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2003,198.109627266996,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2004,198.1095948331,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2005,198.109586708194,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2006,198.109603409351,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2007,198.109605061336,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2008,198.109604743046,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2009,198.109614899904,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2010,198.109607115434,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2011,198.109576320032,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2012,198.109588385827,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2013,198.109604432252,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2014,198.109610110899,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2015,198.109570320677,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2016,198.109589272661,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,2017,198.109606798104,0.453465595266581,8,4,322.490220454544
SUR,LatinAmerica,12-24m,1950,198.109570985651,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1951,198.109601631571,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1952,198.109598224738,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1953,198.109645575901,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1954,198.109608151413,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1955,198.109600718871,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1956,198.109624098351,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1957,198.10959071011,0.401257168582741,8,4,285.361258066651
