"eez_sovereign","length_class","s_transit","n","floor_kn","s_transit_floor"
"COG","12-24m",3.49704384085704,82,8,8
"COD","12-24m",3.308,9,8,8
"NRU","12-24m",5.136,7,8,8
"PNG","24-50m",6.4803676091604,7665,10,10
"USA","24-50m",6.05556981871646,235842,10,10
"CHN","24-50m",3.93737679624452,554639,10,10
"HKG","24-50m",4.84077506103507,25036,10,10
"SGP","24-50m",6.05617570998679,22097,10,10
"FRA","24-50m",4.60261579202374,88685,10,10
"AUS","24-50m",5.99362538799829,85340,10,10
"MYS","24-50m",4.43693641770335,34776,10,10
"KIR","24-50m",5.93408831570553,2289,10,10
"URY","24-50m",3.95515227203175,5518,10,10
"ESP","24-50m",3.99958288994855,132640,10,10
"ITA","24-50m",5.2428923196829,120128,10,10
"DMA","24-50m",5.69946732046937,1746,10,10
"UKR","24-50m",4.88034277529056,6454,10,10
"BRN","24-50m",4.62551872794591,3051,10,10
"ERI","24-50m",5.21217792736025,154,10,10
"GBR","24-50m",4.52673543194764,118152,10,10
"TWN","24-50m",5.48481567751699,36576,10,10
"GRC","24-50m",4.67319448590286,64126,10,10
"PRT","24-50m",9.53250747688134,15035,10,10
"VNM","24-50m",3.25568691816273,50224,10,10
"NOR","24-50m",7.06507913114708,160366,10,10
"JPN","24-50m",7.77071319741853,162031,10,10
"KOR","24-50m",7.19334813803914,230515,10,10
"SWE","24-50m",4.0965378471231,46697,10,10
"RUS","24-50m",5.53301413895844,45623,10,10
"NGA","24-50m",4.05339458964072,10216,10,10
"ARG","24-50m",4.30208943085937,16605,10,10
"MDV","24-50m",5.36284209770507,4759,10,10
"ZAF","24-50m",6.00120274650205,15097,10,10
"IDN","24-50m",4.13533908278451,154443,10,10
"BRA","24-50m",4.1726738066894,34539,10,10
"DOM","24-50m",5.68407541245554,3089,10,10
"GRL","24-50m",4.79483309610619,708,10,10
"IND","24-50m",3.74076056016644,34505,10,10
"ARE","24-50m",5.13434278958229,28232,10,10
"ROU","24-50m",4.3062904264285,1297,10,10
"IRL","24-50m",4.30812932295351,14856,10,10
"DEU","24-50m",4.62452076982629,34383,10,10
"MEX","24-50m",6.4285794343343,25468,10,10
"DZA","24-50m",5.0838233049435,3877,10,10
"GLP","24-50m",6.25381872983522,2156,10,10
"SAU","24-50m",4.02248395445346,35467,10,10
"TUR","24-50m",4.7364721092269,76642,10,10
"NZL","24-50m",5.96932343955116,21084,10,10
"NLD","24-50m",4.85028597302512,47917,10,10
"GIN","24-50m",4.28469931778005,4128,10,10
"IRN","24-50m",4.09806795821388,55270,10,10
"AZE","24-50m",4.26476181187608,1906,10,10
"CYP","24-50m",5.02151813784591,4341,10,10
"RAA","24-50m",6.28346601713992,2648,10,10
"THA","24-50m",4.79848515029233,18679,10,10
"CAN","24-50m",6.9528885840895,76879,10,10
"MMR","24-50m",3.97157509432433,4485,10,10
"MUS","24-50m",6.177477922652,2107,10,10
"VEN","24-50m",5.55804964252729,9054,10,10
"SVN","24-50m",4.14964959021487,10861,10,10
"NAM","24-50m",4.92326911288175,5056,10,10
"DNK","24-50m",6.26882455865832,45526,10,10
"FIN","24-50m",4.81500006991125,15439,10,10
"ISR","24-50m",4.70990417563972,1454,10,10
"VUT","24-50m",5.73367122185559,2942,10,10
"PHL","24-50m",5.30581372745971,28797,10,10
"BHS","24-50m",6.70695054606205,20062,10,10
"LCA","24-50m",4.16972343616758,1780,10,10
"ALB","24-50m",5.43216226013583,4100,10,10
"EGY","24-50m",4.69197583775986,4775,10,10
"LVA","24-50m",4.65960925946707,2958,10,10
"MLT","24-50m",3.72259940978243,2612,10,10
"TON","24-50m",5.25348480969703,1444,10,10
"CPV","24-50m",6.07496495525649,1433,10,10
"HRV","24-50m",6.66227413779283,50317,10,10
"PRK","24-50m",4.1321965240257,15581,10,10
"MHL","24-50m",6.16580433790211,1609,10,10
"COL","24-50m",5.7070644938866,6261,10,10
"COM","24-50m",5.91942797294273,631,10,10
"CHL","24-50m",6.02850950154781,14514,10,10
"CMR","24-50m",4.68020268412332,3496,10,10
"ISL","24-50m",5.34239416226993,17691,10,10
"SOM","24-50m",4.6588129428225,3531,10,10
"TUN","24-50m",4.58362906100261,4515,10,10
"TKM","24-50m",4.87237340845535,2002,10,10
"SLB","24-50m",5.93913139033951,5911,10,10
"TTO","24-50m",5.21367918873878,3288,10,10
"JAM","24-50m",4.71045849289537,1436,10,10
"LKA","24-50m",3.98189087610286,2885,10,10
"QAT","24-50m",4.83604288967286,9433,10,10
"MNE","24-50m",3.92090061523006,4331,10,10
"ECU","24-50m",6.34153356865512,6262,10,10
"HND","24-50m",5.37251560939574,1000,10,10
"OMN","24-50m",4.91995063145421,10265,10,10
"MOZ","24-50m",4.10088625957532,4764,10,10
"PER","24-50m",7.01345611334121,5594,10,10
"High seas","24-50m",4.7281803705455,16164,10,10
"TZA","24-50m",25.7761130672967,1366,10,25.7761130672967
"PYF","24-50m",5.17052021261326,7049,10,10
"MRT","24-50m",4.13094448538675,9759,10,10
"MDG","24-50m",4.11044892300993,4199,10,10
"YEM","24-50m",5.0964328807208,5937,10,10
"GAB","24-50m",4.57890866485733,1711,10,10
"KWT","24-50m",5.11905323753623,5163,10,10
"BGD","24-50m",4.17131205033995,1401,10,10
"LBN","24-50m",5.49653947509836,754,10,10
"BGR","24-50m",3.78005810719497,3766,10,10
"AGO","24-50m",4.32144760773971,5362,10,10
"LBY","24-50m",4.23369170866152,2645,10,10
"FRO","24-50m",4.4766181027142,4635,10,10
"PAN","24-50m",5.5106476162949,5785,10,10
"SUR","24-50m",3.91759056993015,1496,10,10
"SEN","24-50m",4.66337509874415,5071,10,10
"RAM","24-50m",5.00444388449142,1534,10,10
"SYC","24-50m",5.48255274735061,2840,10,10
